et,lt,count,available,complete
1706644800.000,1706648400.000,0,0,1
1706648400.000,1706652000.000,0,0,1
1706652000.000,1706655600.000,0,0,1
1706655600.000,1706659200.000,0,0,1
1706659200.000,1706662800.000,0,0,1
1706662800.000,1706666400.000,0,0,1
1706666400.000,1706670000.000,0,0,1
1706670000.000,1706673600.000,0,0,1
1706673600.000,1706677200.000,0,0,1
1706677200.000,1706680800.000,0,0,1
1706680800.000,1706684400.000,0,0,1
1706684400.000,1706688000.000,0,0,1
1706688000.000,1706691600.000,0,0,1
1706691600.000,1706695200.000,0,0,1
1706695200.000,1706698800.000,0,0,1
1706698800.000,1706702400.000,0,0,1
1706702400.000,1706706000.000,0,0,1
1706706000.000,1706709600.000,0,0,1
1706709600.000,1706713200.000,0,0,1
1706713200.000,1706716800.000,0,0,1
1706716800.000,1706720400.000,0,0,1
1706720400.000,1706724000.000,0,0,1
1706724000.000,1706727600.000,0,0,1
1706727600.000,1706731200.000,0,0,1
1706731200.000,1706734800.000,0,0,1
1706734800.000,1706738400.000,0,0,1
1706738400.000,1706742000.000,0,0,1
1706742000.000,1706745600.000,0,0,1
1706745600.000,1706749200.000,0,0,1
1706749200.000,1706752800.000,0,0,1
1706752800.000,1706756400.000,0,0,1
1706756400.000,1706760000.000,0,0,1
1706760000.000,1706763600.000,0,0,1
1706763600.000,1706767200.000,0,0,1
1706767200.000,1706770800.000,0,0,1
1706770800.000,1706774400.000,0,0,1
1706774400.000,1706778000.000,0,0,1
1706778000.000,1706781600.000,0,0,1
1706781600.000,1706785200.000,0,0,1
1706785200.000,1706788800.000,0,0,1
1706788800.000,1706792400.000,0,0,1
1706792400.000,1706796000.000,0,0,1
1706796000.000,1706799600.000,0,0,1
1706799600.000,1706803200.000,0,0,1
1706803200.000,1706806800.000,0,0,1
1706806800.000,1706810400.000,0,0,1
1706810400.000,1706814000.000,0,0,1
1706814000.000,1706817600.000,0,0,1
1706817600.000,1706821200.000,0,0,1
1706821200.000,1706824800.000,0,0,1
1706824800.000,1706828400.000,0,0,1
1706828400.000,1706832000.000,0,0,1
1706832000.000,1706835600.000,0,0,1
1706835600.000,1706839200.000,0,0,1
1706839200.000,1706842800.000,0,0,1
1706842800.000,1706846400.000,0,0,1
1706846400.000,1706850000.000,0,0,1
1706850000.000,1706853600.000,0,0,1
1706853600.000,1706857200.000,0,0,1
1706857200.000,1706860800.000,0,0,1
1706860800.000,1706864400.000,0,0,1
1706864400.000,1706868000.000,0,0,1
1706868000.000,1706871600.000,0,0,1
1706871600.000,1706875200.000,0,0,1
1706875200.000,1706878800.000,0,0,1
1706878800.000,1706882400.000,0,0,1
1706882400.000,1706886000.000,0,0,1
1706886000.000,1706889600.000,0,0,1
1706889600.000,1706893200.000,0,0,1
1706893200.000,1706896800.000,0,0,1
1706896800.000,1706900400.000,0,0,1
1706900400.000,1706904000.000,0,0,1
1706904000.000,1706907600.000,0,0,1
1706907600.000,1706911200.000,0,0,1
1706911200.000,1706914800.000,0,0,1
1706914800.000,1706918400.000,0,0,1
1706918400.000,1706922000.000,0,0,1
1706922000.000,1706925600.000,0,0,1
1706925600.000,1706929200.000,0,0,1
1706929200.000,1706932800.000,0,0,1
1706932800.000,1706936400.000,0,0,1
1706936400.000,1706940000.000,0,0,1
1706940000.000,1706943600.000,0,0,1
1706943600.000,1706947200.000,0,0,1
1706947200.000,1706950800.000,0,0,1
1706950800.000,1706954400.000,0,0,1
1706954400.000,1706958000.000,0,0,1
1706958000.000,1706961600.000,0,0,1
1706961600.000,1706965200.000,0,0,1
1706965200.000,1706968800.000,0,0,1
1706968800.000,1706972400.000,0,0,1
1706972400.000,1706976000.000,0,0,1
1706976000.000,1706979600.000,0,0,1
1706979600.000,1706983200.000,0,0,1
1706983200.000,1706986800.000,0,0,1
1706986800.000,1706990400.000,0,0,1
1706990400.000,1706994000.000,0,0,1
1706994000.000,1706997600.000,0,0,1
1706997600.000,1707001200.000,0,0,1
1707001200.000,1707004800.000,0,0,1
1707004800.000,1707008400.000,0,0,1
1707008400.000,1707012000.000,0,0,1
1707012000.000,1707015600.000,0,0,1
1707015600.000,1707019200.000,0,0,1
1707019200.000,1707022800.000,0,0,1
1707022800.000,1707026400.000,0,0,1
1707026400.000,1707030000.000,0,0,1
1707030000.000,1707033600.000,0,0,1
1707033600.000,1707037200.000,0,0,1
1707037200.000,1707040800.000,0,0,1
1707040800.000,1707044400.000,0,0,1
1707044400.000,1707048000.000,0,0,1
1707048000.000,1707051600.000,0,0,1
1707051600.000,1707055200.000,0,0,1
1707055200.000,1707058800.000,0,0,1
1707058800.000,1707062400.000,0,0,1
1707062400.000,1707066000.000,0,0,1
1707066000.000,1707069600.000,0,0,1
1707069600.000,1707073200.000,0,0,1
1707073200.000,1707076800.000,0,0,1
1707076800.000,1707080400.000,0,0,1
1707080400.000,1707084000.000,0,0,1
1707084000.000,1707087600.000,0,0,1
1707087600.000,1707091200.000,0,0,1
1707091200.000,1707094800.000,0,0,1
1707094800.000,1707098400.000,0,0,1
1707098400.000,1707102000.000,0,0,1
1707102000.000,1707105600.000,0,0,1
1707105600.000,1707109200.000,0,0,1
1707109200.000,1707112800.000,0,0,1
1707112800.000,1707116400.000,0,0,1
1707116400.000,1707120000.000,0,0,1
1707120000.000,1707123600.000,0,0,1
1707123600.000,1707127200.000,0,0,1
1707127200.000,1707130800.000,0,0,1
1707130800.000,1707134400.000,0,0,1
1707134400.000,1707138000.000,0,0,1
1707138000.000,1707141600.000,0,0,1
1707141600.000,1707145200.000,0,0,1
1707145200.000,1707148800.000,0,0,1
1707148800.000,1707152400.000,0,0,1
1707152400.000,1707156000.000,0,0,1
1707156000.000,1707159600.000,0,0,1
1707159600.000,1707163200.000,0,0,1
1707163200.000,1707166800.000,0,0,1
1707166800.000,1707170400.000,0,0,1
1707170400.000,1707174000.000,0,0,1
1707174000.000,1707177600.000,0,0,1
1707177600.000,1707181200.000,0,0,1
1707181200.000,1707184800.000,0,0,1
1707184800.000,1707188400.000,0,0,1
1707188400.000,1707192000.000,0,0,1
1707192000.000,1707195600.000,0,0,1
1707195600.000,1707199200.000,0,0,1
1707199200.000,1707202800.000,0,0,1
1707202800.000,1707206400.000,0,0,1
1707206400.000,1707210000.000,0,0,1
1707210000.000,1707213600.000,0,0,1
1707213600.000,1707217200.000,0,0,1
1707217200.000,1707220800.000,0,0,1
1707220800.000,1707224400.000,0,0,1
1707224400.000,1707228000.000,0,0,1
1707228000.000,1707231600.000,0,0,1
1707231600.000,1707235200.000,0,0,1
1707235200.000,1707238800.000,0,0,1
1707238800.000,1707242400.000,0,0,1
1707242400.000,1707246000.000,0,0,1
1707246000.000,1707249600.000,0,0,1
1707249600.000,1707253200.000,0,0,1
